,Key,date,season,away,home,Away Line Close,Away Odds Close,Home Odds Close,point_diff,win,cover,eloaway,elohome,eloaway_lag1,elohome_lag1,eloaway_lag2,elohome_lag2
47,2014-10-12clepit,2014-10-12,2014,pit,cle,2.5,2.11,1.813,-21,0,0,1551.35791589652,1405.34703357946,1542.85020415906,1388.52665842538,1565.05878482533,1385.2411519313998
48,2014-10-12crdwas,2014-10-12,2014,was,crd,5.0,3.05,1.434,-10,0,0,1323.4945210961,1600.6734814228,1322.407462083,1568.1540953041,1360.4220433181,1537.0505044195002
49,2014-10-12miagnb,2014-10-12,2014,gnb,mia,-1.5,1.869,2.04,3,1,1,1565.8832315240002,1471.35229237468,1544.3999391727998,1484.4055186286,1490.12550060919,1511.53553866034
50,2014-10-12mindet,2014-10-12,2014,det,min,1.0,2.02,1.884,14,1,1,1500.4794925964302,1510.5799758999,1527.87909408598,1487.57954697193,1501.19229585525,1495.5082364212
51,2014-10-12nyjden,2014-10-12,2014,den,nyj,-10.0,1.238,4.61,14,1,1,1668.7778990829,1396.56850711569,1643.2722567457,1416.420011653365,1661.3861450787,1439.47457458503
52,2014-10-12otijax,2014-10-12,2014,jax,oti,4.0,2.86,1.48,-2,0,1,1328.386987968,1378.2062623481,1346.2465898279,1426.689362382,1353.2822183002,1407.1669023327
53,2014-10-12phinyg,2014-10-12,2014,nyg,phi,1.0,2.06,1.854,-27,0,0,1531.7266626107,1562.22021862649,1513.0978504095,1549.7991588890582,1463.11033638107,1574.3573740711
54,2014-10-12raisdg,2014-10-12,2014,sdg,rai,-7.0,1.294,3.97,3,1,0,1647.4457355292,1306.5130366521291,1637.7587557533,1333.22587513691,1625.1610052711,1356.473827787
55,2014-10-12seadal,2014-10-12,2014,dal,sea,10.0,4.85,1.222,7,1,1,1576.4452400919802,1702.3473841549,1565.84973947276,1681.77716177888,1529.4161454083098,1665.71226124648
56,2014-10-12tamrav,2014-10-12,2014,rav,tam,-3.5,1.564,2.59,31,1,1,1560.67726467152,1352.5903339947,1585.9591321911,1354.9320354959,1543.390754816634,1322.34261243
57,2014-10-13ramsfo,2014-10-13,2014,sfo,ram,-3.5,1.531,2.69,14,1,1,1624.96330691042,1384.1830157498,1620.5266079476,1378.4364854948,1611.96615139834,1375.5490335339998
58,2014-10-16nwenyj,2014-10-16,2014,nyj,nwe,9.5,5.23,1.2,-2,0,1,1381.4033696958002,1642.94432025557,1396.56850711569,1608.02442506853,1416.420011653365,1569.8263095929
59,2014-10-19bufmin,2014-10-19,2014,min,buf,7.0,3.64,1.333,-1,0,1,1463.1939795442,1487.7958601314,1510.5799758999,1511.812436455,1487.57954697193,1489.0506678097
60,2014-10-19chimia,2014-10-19,2014,mia,chi,3.0,2.56,1.578,13,1,1,1464.06892253126,1526.0613440277,1471.35229237468,1492.6917737612,1484.4055186286,1503.51560321088
61,2014-10-19cltcin,2014-10-19,2014,cin,clt,3.0,2.61,1.558,-27,0,0,1594.914486425,1613.8016724723,1593.8326077879,1602.7461097261,1619.89212610016,1586.488313398
62,2014-10-19dalnyg,2014-10-19,2014,nyg,dal,5.0,3.05,1.434,-10,0,0,1498.88246123184,1612.4374714172,1531.7266626107,1576.4452400919802,1513.0978504095,1565.84973947276
63,2014-10-19densfo,2014-10-19,2014,sfo,den,7.0,3.64,1.333,-25,0,0,1654.8032866573,1677.9525893379,1624.96330691042,1668.7778990829,1620.5266079476,1643.2722567457
64,2014-10-19detnor,2014-10-19,2014,nor,det,1.5,2.08,1.84,-1,0,1,1546.3425113925898,1525.0804413294,1542.2206568651,1500.4794925964302,1567.52407705386,1527.87909408598
65,2014-10-19gnbcar,2014-10-19,2014,car,gnb,6.5,3.48,1.357,-21,0,0,1631.3298879741,1580.2036900656,1614.9423759077,1565.8832315240002,1606.4756774982,1544.3999391727998
66,2014-10-19jaxcle,2014-10-19,2014,cle,jax,-4.0,1.495,2.81,-18,0,0,1446.62469268635,1324.4213715521,1405.34703357946,1328.386987968,1388.52665842538,1346.2465898279
67,2014-10-19raicrd,2014-10-19,2014,crd,rai,-3.5,1.54,2.66,11,1,1,1609.0026792903,1309.1808513383398,1600.6734814228,1306.5130366521291,1568.1540953041,1333.22587513691
68,2014-10-19ramsea,2014-10-19,2014,sea,ram,-7.0,1.327,3.69,-2,0,0,1658.31855923945,1365.0195441229998,1702.3473841549,1384.1830157498,1681.77716177888,1378.4364854948
69,2014-10-19ravatl,2014-10-19,2014,atl,rav,7.0,3.64,1.333,-22,0,0,1420.06373165152,1600.0703711938,1459.6990680046,1560.67726467152,1475.6243688654,1585.9591321911
